Neighborhood	Class	Units	YearBuilt	SqFt	Income	IncomePerSqFt	Expense	ExpensePerSqFt	NetIncome	Value	ValuePerSqFt	Boro
UPPER EAST SIDE (79-96)	R4-CONDOMINIUM	18	1986	60288	2327117	38.6	641464	10.64	1685653	12753001	211.53	Manhattan
LOWER EAST SIDE	R4-CONDOMINIUM	24	1907	21645	570346	26.35	241342	11.15	329004	2379998	109.96	Manhattan
UPPER WEST SIDE (59-79)	R9-CONDOMINIUM	277	1981	276911	10976752	39.64	3057097	11.04	7919655	59875000	216.22	Manhattan
HARLEM-CENTRAL	R9-CONDOMINIUM	74	2003	93600	2219256	23.71	996840	10.65	1222416	8911000	95.2	Manhattan
WASHINGTON HEIGHTS UPPER	R4-CONDOMINIUM	113	1969	109752	2370643	21.6	1162274	10.59	1208369	8769541	79.9	Manhattan
HARLEM-CENTRAL	R2-CONDOMINIUM	6	1910	7739	197190	25.48	67948	8.78	129242	881001	113.84	Manhattan
CLINTON	RR-CONDOMINIUM	68	2005	41598	1713838	41.2	443851	10.67	1269987	8963000	215.47	Manhattan
UPPER EAST SIDE (59-79)	R4-CONDOMINIUM	73	1996	155731	7246163	46.53	1945080	12.49	5301083	39849000	255.88	Manhattan
FINANCIAL	R4-CONDOMINIUM	13	1920	37236	1545666	41.51	439012	11.79	1106654	8355001	224.38	Manhattan
MANHATTAN VALLEY	R4-CONDOMINIUM	14	1900	24987	445018	17.81	209641	8.39	235377	1696998	67.92	Manhattan
CHINATOWN	R4-CONDOMINIUM	74	1989	47161	1582723	33.56	563574	11.95	1019149	7567998	160.47	Manhattan
UPPER WEST SIDE (96-116)	R4-CONDOMINIUM	55	2005	79805	2622392	32.86	923344	11.57	1699048	12633998	158.31	Manhattan
KIPS BAY	R4-CONDOMINIUM	9	1910	7335	262886	35.84	67629	9.22	195257	1447999	197.41	Manhattan
MURRAY HILL	R4-CONDOMINIUM	109	1924	158571	5581699	35.2	1807709	11.4	3773990	27912001	176.02	Manhattan
EAST VILLAGE	R4-CONDOMINIUM	40	1911	25528	864378	33.86	162869	6.38	701509	5206002	203.93	Manhattan
UPPER WEST SIDE (59-79)	R4-CONDOMINIUM	372	1997	512280	22673513	44.26	5609466	10.95	17064047	124320032	242.68	Manhattan
UPPER EAST SIDE (79-96)	R4-CONDOMINIUM	43	1989	43065	1686425	39.16	450029	10.45	1236396	9350000	217.11	Manhattan
MIDTOWN EAST	R9-CONDOMINIUM	260	1964	305093	11093181	36.36	4680127	15.34	6413054	47276000	154.96	Manhattan
LOWER EAST SIDE	R4-CONDOMINIUM	80	2002	43850	1786449	40.74	573120	13.07	1213329	9166000	209.03	Manhattan
EAST VILLAGE	R9-CONDOMINIUM	34	1991	36693	1393233	37.97	294645	8.03	1098588	8316000	226.64	Manhattan
CHELSEA	R4-CONDOMINIUM	11	2005	24000	1094640	45.61	187200	7.8	907440	6825003	284.38	Manhattan
LOWER EAST SIDE	R4-CONDOMINIUM	10	1900	6791	147229	21.68	54328	8	92901	673204	99.13	Manhattan
CLINTON	R4-CONDOMINIUM	83	2007	169323	10347329	61.11	1998011	11.8	8349318	62080991	366.64	Manhattan
CHELSEA	R9-CONDOMINIUM	218	1963	196721	6143597	31.23	1375080	6.99	4768517	35605000	180.99	Manhattan
LOWER EAST SIDE	R4-CONDOMINIUM	12	1991	5700	216543	37.99	71706	12.58	144837	1096000	192.28	Manhattan
LOWER EAST SIDE	R4-CONDOMINIUM	16	1900	26783	941958	35.17	272651	10.18	669307	4917002	183.59	Manhattan
MURRAY HILL	R4-CONDOMINIUM	250	2005	392410	17615285	44.89	4371447	11.14	13243838	99668024	253.99	Manhattan
UPPER EAST SIDE (79-96)	R4-CONDOMINIUM	42	1928	50156	1717341	34.24	561246	11.19	1156095	8567001	170.81	Manhattan
HARLEM-CENTRAL	R4-CONDOMINIUM	21	1920	24795	400439	16.15	224891	9.07	175548	927302	37.4	Manhattan
CLINTON	R9-CONDOMINIUM	98	1986	97365	3881943	39.87	1251140	12.85	2630803	19885000	204.23	Manhattan
LOWER EAST SIDE	R4-CONDOMINIUM	29	1912	43723	1253976	28.68	546538	12.5	707438	5313001	121.52	Manhattan
HARLEM-EAST	R4-CONDOMINIUM	9	2005	10833	377422	34.84	116671	10.77	260751	1973999	182.22	Manhattan
TRIBECA	R4-CONDOMINIUM	11	2001	54500	2220330	40.74	712315	13.07	1508015	11391999	209.03	Manhattan
CHELSEA	R4-CONDOMINIUM	13	2003	37035	1366592	36.9	395534	10.68	971058	6661653	179.87	Manhattan
SOHO	R4-CONDOMINIUM	10	1900	22500	719325	31.97	228375	10.15	490950	3671000	163.16	Manhattan
UPPER EAST SIDE (59-79)	R9-CONDOMINIUM	88	1957	89223	3086224	34.59	899368	10.08	2186856	16193000	181.49	Manhattan
UPPER WEST SIDE (96-116)	R4-CONDOMINIUM	302	1983	358000	11982260	33.47	4227980	11.81	7754280	46419746	129.66	Manhattan
HARLEM-EAST	R2-CONDOMINIUM	17	1920	9590	217214	22.65	93407	9.74	123807	905001	94.37	Manhattan
FLATIRON	R4-CONDOMINIUM	10	1902	27065	1135106	41.94	472284	17.45	662822	4697997	173.58	Manhattan
UPPER WEST SIDE (79-96)	R4-CONDOMINIUM	47	1916	92402	3079759	33.33	1050611	11.37	2029148	15075004	163.15	Manhattan
GREENWICH VILLAGE-CENTRAL	R4-CONDOMINIUM	20	2006	36330	1718772	47.31	514796	14.17	1203976	9045002	248.97	Manhattan
TRIBECA	R9-CONDOMINIUM	38	1910	73919	2077863	28.11	737712	9.98	1340151	9646000	130.49	Manhattan
GREENWICH VILLAGE-WEST	R4-CONDOMINIUM	29	2004	72225	3780257	52.34	1066041	14.76	2714216	20302010	281.09	Manhattan
MIDTOWN EAST	R4-CONDOMINIUM	18	2001	11861	508956	42.91	135097	11.39	373859	2819999	237.75	Manhattan
UPPER WEST SIDE (96-116)	R4-CONDOMINIUM	148	1920	107102	2711823	25.32	645825	6.03	2065998	14994009	140	Manhattan
MIDTOWN EAST	R4-CONDOMINIUM	166	1977	122021	4984558	40.85	1471573	12.06	3512985	26535001	217.46	Manhattan
MIDTOWN EAST	R4-CONDOMINIUM	59	1941	53435	1742515	32.61	585113	10.95	1157402	8611002	161.15	Manhattan
HARLEM-EAST	R9-CONDOMINIUM	215	2005	184939	7436397	40.21	2324683	12.57	5111714	38629000	208.87	Manhattan
TRIBECA	R9-CONDOMINIUM	24	1915	52735	1396950	26.49	522077	9.9	874873	6328000	120	Manhattan
